-  Les élèves bénéficieront d'un meilleur enseignement grâce aux professeurs mieux formés et motivés.
-  Le taux de réussite scolaire augmentera avec la mise en place d'une meilleure organisation pédagogique.
-  L'école inclusive permettra à tous les élèves, y compris ceux en situation de handicap, d'accéder à une éducation de qualité. 
-   Des logements étudiants abordables seront disponibles pour plus d'étudiants.
-  La rénovation des résidences CROUS améliorera les conditions de vie des étudiants.
-   Les étudiants pourront se concentrer sur leurs études grâce à la stabilité financière offerte par le prix bloqué du repas universitaire.
- Les bourses augmentées aideront les étudiants boursiers à financer leur formation. 
-  La sécurité des femmes sera renforcée grâce aux téléphones grave danger et aux arrêts de bus à la demande.
-   L'égalité entre femmes et hommes sera promue par le congé parental mieux indemnisé.
-   Les parents pourront être présents auprès de leurs enfants pendant leur première année de vie.
-  Le versement automatique des aides sociales permettra une plus grande équité et simplification administrative.
-   La solidarité à la source garantira que les personnes ayant droit aux aides les recevront sans délai.
-   L'accès aux réseaux sociaux sera régulé pour protéger les enfants des contenus nuisibles. 
-  Une meilleure protection des mineurs non accompagnés sera assurée grâce à la compétence de l'Etat.
-  Les inégalités territoriales dans le système éducatif seront réduites.
-   Des parents plus impliqués dans l'éducation de leurs enfants grâce au contrat parents/école.
-  Le remplacement systématique des absences permettra un meilleur suivi pédagogique. 
-  Une meilleure formation des professeurs contribuera à une amélioration de la qualité de l'enseignement.
-  L'investissement massif dans l'École de la République démontrera le soutien du gouvernement à l'éducation.
-  Les enfants pourront bénéficier d'un environnement scolaire plus serein et plus favorable à leur apprentissage. 


