- Le financement par les dividendes, la participation et l'épargne salariale pourrait entrainer une baisse des investissements privés.
- La taxation des revenus tirés de dividendes, de la participation aux bénéfices et de l'épargne salariale pourrait décevoir les investisseurs privés.
- Les contributions imposées sur les dividendes, la participation et l'épargne salariale pourraient décourager le capital privé.
- Le système fiscal impliquant des cotisations sur les dividendes, la participation et l'épargne salariale pourrait freiner l'investissement privé.
- Imposer les dividendes, la participation et l'épargne salariale pourrait entraver le développement du secteur privé.
- La législation fiscale concernant les dividendes, la participation et l'épargne salariale pourrait impacter négativement l'investissement privé.
- L'imposition des revenus issus de dividendes, de la participation et de l'épargne salariale pourrait limiter les investissements privés.
- Taxer les dividendes, la participation aux bénéfices et l'épargne salariale pourrait dissuader les investisseurs privés.
- Le régime fiscal actuel concernant les dividendes, la participation et l'épargne salariale pourrait influencer défavorablement l'investissement privé.
- L'instauration de cotisations sur les dividendes, la participation et l'épargne salariale pourrait engendrer une réduction des investissements privés.
- Le système d'imposition applicable aux dividendes, à la participation et à l'épargne salariale pourrait affecter le niveau d'investissement privé.
- La fiscalité liée aux dividendes, à la participation et à l'épargne salariale pourrait freiner les initiatives d'investissement privées.
- L'imposition des revenus provenant de dividendes, de la participation et de l'épargne salariale pourrait avoir un impact négatif sur le capital privé.
- Le régime fiscal relatif aux dividendes, à la participation et à l'épargne salariale pourrait décourager les investissements privés.
- La contribution imposée aux dividendes, à la participation et à l'épargne salariale pourrait engendrer une diminution des investissements privés.
- Taxer les revenus générés par les dividendes, la participation et l'épargne salariale pourrait décourager l'investissement privé.
- Le système fiscal actuel concernant les dividendes, la participation et l'épargne salariale pourrait avoir un effet négatif sur l'investissement privé.
- La législation fiscale relative aux dividendes, à la participation et à l'épargne salariale pourrait affecter négativement le niveau d'investissement privé.


